x,y,z,n_valid_orientations / 100
0.0,0.0,-0.5,0
0.0,0.0,-0.46938775510204084,0
0.0,0.0,-0.4387755102040816,0
0.0,0.0,-0.40816326530612246,0
0.0,0.0,-0.37755102040816324,0
0.0,0.0,-0.3469387755102041,0
0.0,0.0,-0.3163265306122449,0
0.0,0.0,-0.2857142857142857,0
0.0,0.0,-0.25510204081632654,0
0.0,0.0,-0.22448979591836737,0
0.0,0.0,-0.19387755102040816,0
0.0,0.0,-0.163265306122449,1
0.0,0.0,-0.13265306122448983,7
0.0,0.0,-0.10204081632653061,9
0.0,0.0,-0.07142857142857145,10
0.0,0.0,-0.040816326530612235,9
0.0,0.0,-0.010204081632653073,9
0.0,0.0,0.020408163265306145,11
0.0,0.0,0.05102040816326525,10
0.0,0.0,0.08163265306122447,5
0.0,0.0,0.11224489795918369,3
0.0,0.0,0.1428571428571428,0
0.0,0.0,0.173469387755102,0
0.0,0.0,0.20408163265306123,0
0.0,0.0,0.23469387755102034,0
0.0,0.0,0.26530612244897955,0
0.0,0.0,0.29591836734693877,0
0.0,0.0,0.326530612244898,0
0.0,0.0,0.3571428571428571,0
0.0,0.0,0.3877551020408163,0
0.0,0.0,0.41836734693877553,0
0.0,0.0,0.44897959183673464,0
0.0,0.0,0.47959183673469385,0
0.0,0.0,0.510204081632653,0
0.0,0.0,0.5408163265306123,0
0.0,0.0,0.5714285714285714,7
0.0,0.0,0.6020408163265305,8
0.0,0.0,0.6326530612244898,10
0.0,0.0,0.6632653061224489,12
0.0,0.0,0.693877551020408,12
0.0,0.0,0.7244897959183674,11
0.0,0.0,0.7551020408163265,11
0.0,0.0,0.7857142857142856,10
0.0,0.0,0.8163265306122449,4
0.0,0.0,0.846938775510204,2
0.0,0.0,0.8775510204081631,0
0.0,0.0,0.9081632653061225,0
0.0,0.0,0.9387755102040816,0
0.0,0.0,0.9693877551020407,0
0.0,0.0,1.0,0
0.03125,0.0,-0.5,0
0.03125,0.0,-0.46938775510204084,0
0.03125,0.0,-0.4387755102040816,0
0.03125,0.0,-0.40816326530612246,0
0.03125,0.0,-0.37755102040816324,0
0.03125,0.0,-0.3469387755102041,0
0.03125,0.0,-0.3163265306122449,0
0.03125,0.0,-0.2857142857142857,0
0.03125,0.0,-0.25510204081632654,0
0.03125,0.0,-0.22448979591836737,0
0.03125,0.0,-0.19387755102040816,0
0.03125,0.0,-0.163265306122449,2
0.03125,0.0,-0.13265306122448983,6
0.03125,0.0,-0.10204081632653061,6
0.03125,0.0,-0.07142857142857145,6
0.03125,0.0,-0.040816326530612235,5
0.03125,0.0,-0.010204081632653073,6
0.03125,0.0,0.020408163265306145,7
0.03125,0.0,0.05102040816326525,5
0.03125,0.0,0.08163265306122447,3
0.03125,0.0,0.11224489795918369,1
0.03125,0.0,0.1428571428571428,0
0.03125,0.0,0.173469387755102,0
0.03125,0.0,0.20408163265306123,0
0.03125,0.0,0.23469387755102034,0
0.03125,0.0,0.26530612244897955,0
0.03125,0.0,0.29591836734693877,0
0.03125,0.0,0.326530612244898,0
0.03125,0.0,0.3571428571428571,0
0.03125,0.0,0.3877551020408163,0
0.03125,0.0,0.41836734693877553,0
0.03125,0.0,0.44897959183673464,0
0.03125,0.0,0.47959183673469385,0
0.03125,0.0,0.510204081632653,0
0.03125,0.0,0.5408163265306123,4
0.03125,0.0,0.5714285714285714,4
0.03125,0.0,0.6020408163265305,3
0.03125,0.0,0.6326530612244898,6
0.03125,0.0,0.6632653061224489,9
0.03125,0.0,0.693877551020408,8
0.03125,0.0,0.7244897959183674,7
0.03125,0.0,0.7551020408163265,8
0.03125,0.0,0.7857142857142856,7
0.03125,0.0,0.8163265306122449,4
0.03125,0.0,0.846938775510204,2
0.03125,0.0,0.8775510204081631,0
0.03125,0.0,0.9081632653061225,0
0.03125,0.0,0.9387755102040816,0
0.03125,0.0,0.9693877551020407,0
0.03125,0.0,1.0,0
0.0625,0.0,-0.5,0
0.0625,0.0,-0.46938775510204084,0
0.0625,0.0,-0.4387755102040816,0
0.0625,0.0,-0.40816326530612246,0
0.0625,0.0,-0.37755102040816324,0
0.0625,0.0,-0.3469387755102041,0
0.0625,0.0,-0.3163265306122449,0
0.0625,0.0,-0.2857142857142857,0
0.0625,0.0,-0.25510204081632654,0
0.0625,0.0,-0.22448979591836737,0
0.0625,0.0,-0.19387755102040816,0
0.0625,0.0,-0.163265306122449,2
0.0625,0.0,-0.13265306122448983,6
0.0625,0.0,-0.10204081632653061,6
0.0625,0.0,-0.07142857142857145,15
0.0625,0.0,-0.040816326530612235,6
0.0625,0.0,-0.010204081632653073,8
0.0625,0.0,0.020408163265306145,7
0.0625,0.0,0.05102040816326525,7
0.0625,0.0,0.08163265306122447,4
0.0625,0.0,0.11224489795918369,2
0.0625,0.0,0.1428571428571428,0
0.0625,0.0,0.173469387755102,0
0.0625,0.0,0.20408163265306123,0
0.0625,0.0,0.23469387755102034,0
0.0625,0.0,0.26530612244897955,0
0.0625,0.0,0.29591836734693877,0
0.0625,0.0,0.326530612244898,0
0.0625,0.0,0.3571428571428571,0
0.0625,0.0,0.3877551020408163,0
0.0625,0.0,0.41836734693877553,1
0.0625,0.0,0.44897959183673464,0
0.0625,0.0,0.47959183673469385,1
0.0625,0.0,0.510204081632653,1
0.0625,0.0,0.5408163265306123,3
0.0625,0.0,0.5714285714285714,4
0.0625,0.0,0.6020408163265305,8
0.0625,0.0,0.6326530612244898,4
0.0625,0.0,0.6632653061224489,11
0.0625,0.0,0.693877551020408,10
0.0625,0.0,0.7244897959183674,7
0.0625,0.0,0.7551020408163265,8
0.0625,0.0,0.7857142857142856,9
0.0625,0.0,0.8163265306122449,10
0.0625,0.0,0.846938775510204,4
0.0625,0.0,0.8775510204081631,0
0.0625,0.0,0.9081632653061225,0
0.0625,0.0,0.9387755102040816,0
0.0625,0.0,0.9693877551020407,0
0.0625,0.0,1.0,0
0.09375,0.0,-0.5,0
0.09375,0.0,-0.46938775510204084,0
0.09375,0.0,-0.4387755102040816,0
0.09375,0.0,-0.40816326530612246,0
0.09375,0.0,-0.37755102040816324,0
0.09375,0.0,-0.3469387755102041,0
0.09375,0.0,-0.3163265306122449,0
0.09375,0.0,-0.2857142857142857,0
0.09375,0.0,-0.25510204081632654,0
0.09375,0.0,-0.22448979591836737,0
0.09375,0.0,-0.19387755102040816,1
0.09375,0.0,-0.163265306122449,3
0.09375,0.0,-0.13265306122448983,6
0.09375,0.0,-0.10204081632653061,4
0.09375,0.0,-0.07142857142857145,16
0.09375,0.0,-0.040816326530612235,6
0.09375,0.0,-0.010204081632653073,6
0.09375,0.0,0.020408163265306145,6
0.09375,0.0,0.05102040816326525,5
0.09375,0.0,0.08163265306122447,7
0.09375,0.0,0.11224489795918369,1
0.09375,0.0,0.1428571428571428,2
0.09375,0.0,0.173469387755102,0
0.09375,0.0,0.20408163265306123,0
0.09375,0.0,0.23469387755102034,0
0.09375,0.0,0.26530612244897955,0
0.09375,0.0,0.29591836734693877,0
0.09375,0.0,0.326530612244898,0
0.09375,0.0,0.3571428571428571,0
0.09375,0.0,0.3877551020408163,0
0.09375,0.0,0.41836734693877553,1
0.09375,0.0,0.44897959183673464,0
0.09375,0.0,0.47959183673469385,0
0.09375,0.0,0.510204081632653,1
0.09375,0.0,0.5408163265306123,8
0.09375,0.0,0.5714285714285714,1
0.09375,0.0,0.6020408163265305,5
0.09375,0.0,0.6326530612244898,2
0.09375,0.0,0.6632653061224489,4
0.09375,0.0,0.693877551020408,7
0.09375,0.0,0.7244897959183674,8
0.09375,0.0,0.7551020408163265,8
0.09375,0.0,0.7857142857142856,8
0.09375,0.0,0.8163265306122449,3
0.09375,0.0,0.846938775510204,3
0.09375,0.0,0.8775510204081631,0
0.09375,0.0,0.9081632653061225,0
0.09375,0.0,0.9387755102040816,0
0.09375,0.0,0.9693877551020407,0
0.09375,0.0,1.0,0
0.125,0.0,-0.5,0
0.125,0.0,-0.46938775510204084,0
0.125,0.0,-0.4387755102040816,0
0.125,0.0,-0.40816326530612246,0
0.125,0.0,-0.37755102040816324,0
0.125,0.0,-0.3469387755102041,0
0.125,0.0,-0.3163265306122449,0
0.125,0.0,-0.2857142857142857,0
0.125,0.0,-0.25510204081632654,0
0.125,0.0,-0.22448979591836737,0
0.125,0.0,-0.19387755102040816,1
